"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",101,"Live animals",10101,"Horses",11199
1,"Animal Products",101,"Live animals",10102,"Bovine",687880
1,"Animal Products",101,"Live animals",10103,"Pigs",74587
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2065699
1,"Animal Products",101,"Live animals",10105,"Poultry",2818582
1,"Animal Products",101,"Live animals",10106,"Other Animals",9120787
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",441449
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",7689756
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",912023
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",89336614
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",431022
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",1308265
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",115035
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2283835
1,"Animal Products",103,"Fish, crustaceans, & molluscs",10301,"Live Fish",1816857
1,"Animal Products",103,"Fish, crustaceans, & molluscs",10302,"Non-fillet Fresh Fish",1904277
1,"Animal Products",103,"Fish, crustaceans, & molluscs",10303,"Non-fillet Frozen Fish",3990681
1,"Animal Products",103,"Fish, crustaceans, & molluscs",10304,"Fish Fillets",15996854
1,"Animal Products",103,"Fish, crustaceans, & molluscs",10305,"Fish: dried, salted, smoked or in brine",17233075
1,"Animal Products",103,"Fish, crustaceans, & molluscs",10306,"Crustaceans",6955587.999999999
1,"Animal Products",103,"Fish, crustaceans, & molluscs",10307,"Molluscs",6430472
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",316207.00000000006
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",1872557
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",367652
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",427804
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",681571
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",535193
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",24036
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",79
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",531553
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",105
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",526
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",39871
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",9250
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",89965
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",176158
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",269290
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",622608
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",180879
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",61150838
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",664973280
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2652599
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",4268920
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",1981594.0000000002
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",6130784
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",12785529
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",293463
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",3993931
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",30625
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",74823890
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",50438530
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",39092695
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",39533
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",145886
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",20476519
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",1141545
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2327460
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",105880607
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",104432
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",226985020
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",1191586
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",154350
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",127180
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",329398
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",47449
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",4505937
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",313693
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20812,"Preserved Fruits and Nuts",6806.000000000001
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",1309844
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",341359539
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",1388961542
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20903,"Mate",6975
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",4244113
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20905,"Vanilla",15119
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",127835.00000000001
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20907,"Cloves",98651
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",113991
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",42340
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",15172990
2,"Vegetable Products",210,"Cereals",21001,"Wheat",439150.00000000006
2,"Vegetable Products",210,"Cereals",21002,"Rye",1461347
2,"Vegetable Products",210,"Cereals",21003,"Barley",1782128
2,"Vegetable Products",210,"Cereals",21004,"Oats",63686
2,"Vegetable Products",210,"Cereals",21005,"Corn",2249217
2,"Vegetable Products",210,"Cereals",21006,"Rice",148845
2,"Vegetable Products",210,"Cereals",21007,"Sorghum",82421.99999999999
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",720166
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",775486
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2980998
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",71773
2,"Vegetable Products",211,"Products of the milling industry",21104,"Processed Cereals",465045
2,"Vegetable Products",211,"Products of the milling industry",21105,"Potato Flours",16409
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",242649
2,"Vegetable Products",211,"Products of the milling industry",21107,"Malt",5066670
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",117365
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21201,"Soybeans",6204.999999999999
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21202,"Ground Nuts",31236
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21204,"Linseed",843
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21205,"Rapeseed",4
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21206,"Sunflower Seeds",789870
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",4826410
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21208,"Oil Seed Flower",198072
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",26919977
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21210,"Hops",134459
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",41035375
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21212,"Locust beans, seaweed, sugar beet, cane, for food",566725
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21213,"Cereal Straws",305
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21214,"Forage Crops",8942
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21301,"Insect Resins",10141522
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21302,"Vegetable Saps",6071882
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21401,"Vegetable Plaiting Materials",12155
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21404,"Other Vegetable Products",317913
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31501,"Pig and Poultry Fat",115
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31502,"Bovine, Sheep, and Goat Fat",712
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31504,"Fish oil",7933.000000000001
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31505,"Wool Grease",66066
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31506,"Other Animal Fats",15063
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31507,"Soybean Oil",1029197.0000000001
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31508,"Ground Nut Oil",138907.00000000003
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31509,"Pure Olive Oil",118843
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31510,"Olive Oil",154
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31511,"Palm Oil",149408727
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31512,"Seed Oils",1221397
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31513,"Coconut Oil",1388212
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31514,"Rapeseed Oil",51125
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",48993459
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31516,"Other Vegetable Oils",20373230
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31517,"Margarine",46814777
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31518,"Inedible Fats and Oils",944442
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31519,"Stearic Acid",3925552
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31520,"Glycerol",877935
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31521,"Vegetable waxes and beeswax",1757461
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41601,"Sausages",4109293
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41602,"Other Prepared Meat",168840
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41604,"Processed Fish",2640
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41605,"Processed Crustaceans",6670139
4,"Foodstuffs",417,"Sugars & confectioneries",41701,"Raw Sugar",568227
4,"Foodstuffs",417,"Sugars & confectioneries",41702,"Other Sugars",259402
4,"Foodstuffs",417,"Sugars & confectioneries",41703,"Molasses",1909544
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",68237580
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41801,"Cocoa Beans",18947138
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41802,"Cocoa Shells",897
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41803,"Cocoa Paste",701977
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41804,"Cocoa Butter",6394
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41805,"Cocoa Powder",149764
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41806,"Chocolate",1088101
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41901,"Malt Extract",7710390
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41902,"Pasta",5030331
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41903,"Tapioca",865
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41904,"Prepared Cereals",3605001
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",4247743
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42001,"Pickled Foods",74059
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42002,"Processed Tomatoes",246556
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42003,"Processed Mushrooms",4571
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42004,"Other Frozen Vegetables",34297
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42005,"Other Processed Vegetables",27835089
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42006,"Sugar Preserved Foods",6321
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42007,"Jams",1807541
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42008,"Other Processed Fruits and Nuts",53356308
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42009,"Fruit Juice",24374512
4,"Foodstuffs",421,"Miscellaneous edible preparations",42101,"Coffee and Tea Extracts",31829362
4,"Foodstuffs",421,"Miscellaneous edible preparations",42102,"Yeast",16300574
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",16170224
4,"Foodstuffs",421,"Miscellaneous edible preparations",42104,"Soups and Broths",973423
4,"Foodstuffs",421,"Miscellaneous edible preparations",42105,"Ice Cream",3742580.0000000005
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",45373780
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42201,"Water",30307
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42202,"Flavored Water",11238179
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42203,"Beer",23473702
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42204,"Wine",315772
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42205,"Vermouth",848
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42206,"Other Fermented Beverages",1346929
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42207,"Alcohol > 80% ABV",1957909
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42208,"Hard Liquor",7519231
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42209,"Vinegar",27619
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42301,"Animal Meal and Pellets",374096
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42302,"Bran",25969719
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42303,"Starch Residue",16
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42306,"Other Vegetable Residues",5382
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42308,"Other Vegetable Residues and Waste",40.99999999999999
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42309,"Animal Food",7204180
4,"Foodstuffs",424,"Tobacco & substitutes",42401,"Raw Tobacco",10799184
4,"Foodstuffs",424,"Tobacco & substitutes",42402,"Rolled Tobacco",97179180
4,"Foodstuffs",424,"Tobacco & substitutes",42403,"Processed Tobacco",24917338
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52501,"Salt",38062195
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52502,"Iron Pyrites",9623
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52503,"Sulphur",593037
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52504,"Graphite",20
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52505,"Sand",964745.9999999999
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52506,"Quartz",242546.99999999997
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52507,"Kaolin",436932
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52508,"Clays",152649
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52509,"Chalk",78368
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52510,"Calcium Phosphates",30601.999999999996
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52511,"Barium Sulphate",6145
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52512,"Siliceous Fossil Meals",799190
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52513,"Pumice",153984
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52514,"Slate",228.99999999999997
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52515,"Marble, Travertine and Alabaster",434
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52516,"Granite",15550
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52517,"Gravel and Crushed Stone",250682
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52518,"Dolomite",128391
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52519,"Magnesium Carbonate",972
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52520,"Gypsum",7251233
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52521,"Limestone",626182
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52522,"Quicklime",1266421
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52523,"Cement",104843538
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52525,"Mica",5035
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52526,"Soapstone",28178
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52528,"Borax",3671.0000000000005
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52529,"Feldspar",4575186
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52530,"Other Mineral",6100799
5,"Mineral Products",526,"Ores, slag and ash",52601,"Iron Ore",5298209
5,"Mineral Products",526,"Ores, slag and ash",52602,"Manganese Ore",17958187
5,"Mineral Products",526,"Ores, slag and ash",52603,"Copper Ore",1734774.9999999998
5,"Mineral Products",526,"Ores, slag and ash",52606,"Aluminium Ore",41117
5,"Mineral Products",526,"Ores, slag and ash",52607,"Lead Ore",10815
5,"Mineral Products",526,"Ores, slag and ash",52608,"Zinc Ore",1195
5,"Mineral Products",526,"Ores, slag and ash",52609,"Tin Ores",582872
5,"Mineral Products",526,"Ores, slag and ash",52610,"Chromium Ore",22739
5,"Mineral Products",526,"Ores, slag and ash",52614,"Titanium Ore",289848082
5,"Mineral Products",526,"Ores, slag and ash",52615,"Niobium, Tantalum, Vanadium and Zirconium Ore",62083598
5,"Mineral Products",526,"Ores, slag and ash",52616,"Precious Metal Ore",1019060
5,"Mineral Products",526,"Ores, slag and ash",52617,"Other Ores",12912446
5,"Mineral Products",526,"Ores, slag and ash",52618,"Granulated Slag",1580356.0000000002
5,"Mineral Products",526,"Ores, slag and ash",52620,"Non-Iron and Steel Slag, Ash and Residues",9859058
5,"Mineral Products",526,"Ores, slag and ash",52621,"Other Slag and Ash",5942.999999999999
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52701,"Coal Briquettes",1272789
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52702,"Lignite",497.00000000000006
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52703,"Peat",120949
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52704,"Coke",119.00000000000001
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52705,"Non-Petroleum Gas",70047
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52707,"Coal Tar Oil",17844
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52709,"Crude Petroleum",13614409
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",69574232
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52711,"Petroleum Gas",1754566
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52712,"Petroleum Jelly",3384023
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52713,"Petroleum Coke",251557
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52714,"Bitumen and asphalt",276347
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52715,"Asphalt Mixtures",445031
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52716,"Electricity",2178924
6,"Chemical Products",628,"Inorganic chemicals",62801,"Halogens",979976
6,"Chemical Products",628,"Inorganic chemicals",62803,"Carbon",92563
6,"Chemical Products",628,"Inorganic chemicals",62804,"Hydrogen",619940
6,"Chemical Products",628,"Inorganic chemicals",62805,"Alkaline Metals",35952
6,"Chemical Products",628,"Inorganic chemicals",62806,"Hydrochloric Acid",110103.00000000001
6,"Chemical Products",628,"Inorganic chemicals",62807,"Sulfuric Acid",3644908
6,"Chemical Products",628,"Inorganic chemicals",62808,"Nitric Acids",105779
6,"Chemical Products",628,"Inorganic chemicals",62809,"Phosphoric Acid",163928
6,"Chemical Products",628,"Inorganic chemicals",62810,"Boron",141274
6,"Chemical Products",628,"Inorganic chemicals",62811,"Other Inorganic Acids",6666164
6,"Chemical Products",628,"Inorganic chemicals",62814,"Ammonia",247120
6,"Chemical Products",628,"Inorganic chemicals",62815,"Sodium or Potassium Peroxides",289751
6,"Chemical Products",628,"Inorganic chemicals",62816,"Magnesium Hydroxide and Peroxide",618
6,"Chemical Products",628,"Inorganic chemicals",62817,"Zinc Oxide and Peroxide",45066
6,"Chemical Products",628,"Inorganic chemicals",62818,"Aluminium Oxide",22620
6,"Chemical Products",628,"Inorganic chemicals",62819,"Chromium Oxides and Hydroxides",610
6,"Chemical Products",628,"Inorganic chemicals",62820,"Manganese Oxides",218
6,"Chemical Products",628,"Inorganic chemicals",62821,"Iron Oxides and Hydroxides",367227
6,"Chemical Products",628,"Inorganic chemicals",62822,"Cobalt Oxides and Hydroxides",14364
